molecule,SMILES,solvent,f_zwit_exp,f_zwit_pred,job_messages,run_ok,run_returncode,result_dir
Leucine,CC(C)C[C@H](N)C(=O)O,water,,0.9999804898159976,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/010_leucine
Lysine,NCCCC[C@H](N)C(=O)O,water,,0.9999999999924933,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/011_lysine
Methionine,CSCC[C@H](N)C(=O)O,water,,0.99998978325885,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/012_methionine
Phenylalanine,N[C@@H](Cc1ccccc1)C(=O)O,water,,0.9999813259915808,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/013_phenylalanine
Proline,O=C(O)[C@@H]1CCCN1,water,,0.999998122634994,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/014_proline
Serine,N[C@@H](CO)C(=O)O,water,,0.9999648783804208,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/015_serine
Threonine,C[C@@H](O)[C@H](N)C(=O)O,water,,0.9999990446956907,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/016_threonine
Tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,water,,0.9999989378710266,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/017_tryptophan
Tyrosine,N[C@@H](Cc1ccc(O)cc1)C(=O)O,water,,0.9999963431340229,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/018_tyrosine
Valine,CC(C)[C@H](N)C(=O)O,water,,0.9999907839563013,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/019_valine
